Unnamed: 0,Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,Name,0,1,2,3,4,5,6,7,8,9,10,11,12
18,FluencyBank,107,18,148320,196320,0,0,0,1,3,0,0,0,0,0,0,0,FluencyBank_107_18,-254.10727,89.537285,-40.392136,14.174862,-14.507275,-16.119637,-29.270489,-12.888503,3.302112,-11.654645,-8.32793,-11.203434,2.1610894
19,FluencyBank,107,19,170560,218560,0,0,1,0,0,0,0,0,2,0,0,0,FluencyBank_107_19,-268.1806,91.04457,-38.757015,15.797816,-13.832626,-14.159608,-24.45319,-13.688486,-4.6545105,-7.6378574,-12.501435,-13.201638,3.9030988
20,FluencyBank,107,20,1994560,2042560,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_20,-260.52994,93.752495,-31.959322,14.460007,-18.009829,-12.175154,-25.153702,-17.741392,-2.7154224,-13.59053,-7.1150675,-11.276128,-0.40419123
21,FluencyBank,107,21,2015520,2063520,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_21,-249.79143,90.3731,-31.162819,16.66226,-20.527939,-20.05088,-23.671947,-20.223326,-3.4353423,-13.298095,-9.79174,-8.363482,4.5289273
22,FluencyBank,107,22,2123680,2171680,0,0,2,2,1,0,0,0,0,0,0,0,FluencyBank_107_22,-266.58057,79.474144,-30.532982,25.633581,-17.652428,-15.704482,-15.593566,-14.2133045,-2.3900328,-11.125714,-14.774311,-9.065784,-5.7766542
23,FluencyBank,107,23,2145920,2193920,0,0,1,0,0,0,0,0,2,1,0,0,FluencyBank_107_23,-254.78642,82.42909,-38.249115,18.631796,-26.830788,-8.742941,-15.116887,-14.71494,2.7122455,-10.438826,-12.557155,-10.779711,-4.7765036
24,FluencyBank,107,24,2212000,2260000,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_24,-296.57355,82.82825,-10.250679,26.82108,-11.872301,-21.824614,-24.493105,-17.612339,-8.830112,-13.468786,-11.947331,-6.3642936,0.6157247
25,FluencyBank,107,25,2234880,2282880,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_25,-294.41956,88.97502,-19.895742,25.124481,-9.228588,-26.625458,-32.578312,-15.211035,-8.368577,-15.200019,-10.191238,-6.025121,0.7854177
26,FluencyBank,107,26,2446080,2494080,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_26,-285.20334,78.68824,-8.659493,22.48161,-16.428303,-15.471744,-22.797737,-20.029787,-8.899862,-11.207882,-13.493546,-10.968469,-2.6036994
27,FluencyBank,107,27,2468960,2516960,1,0,0,0,0,0,0,0,2,1,0,0,FluencyBank_107_27,-268.02127,94.45623,-31.998354,11.745865,-16.945702,-17.129246,-30.110744,-15.361102,2.1790266,-13.634036,-9.56717,-6.124284,-5.5741277
28,FluencyBank,107,28,2656480,2704480,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_28,-244.40929,108.131035,-39.18136,9.668317,-18.6442,-16.394066,-26.3246,-21.14965,0.47018847,-5.456834,-12.576072,-11.974431,0.28214744
30,FluencyBank,107,30,2734720,2782720,0,0,1,0,0,0,0,0,3,0,0,0,FluencyBank_107_30,-285.36462,96.891266,-29.007168,16.980703,-18.552816,-15.671663,-15.16995,-17.520138,-7.1577506,-13.677245,-14.235312,-11.795557,-3.214817
31,FluencyBank,107,31,2759200,2807200,0,0,1,0,0,0,0,0,2,0,0,0,FluencyBank_107_31,-275.28705,97.2053,-42.34153,14.2758255,-17.593811,-20.547993,-17.418598,-4.3492646,-0.3726311,-13.512164,-12.699715,-7.889853,-4.763048
32,FluencyBank,107,32,2995680,3043680,0,0,0,1,1,1,0,0,1,0,0,0,FluencyBank_107_32,-267.59344,110.800415,-37.19451,14.550782,-17.797592,-17.26847,-23.000515,-13.0714655,-3.269729,-11.92049,-13.501224,-10.355552,-8.852432
33,FluencyBank,107,33,3017440,3065440,0,0,0,0,0,2,0,0,1,0,0,0,FluencyBank_107_33,-240.24402,109.51714,-47.00708,9.555376,-18.344748,-22.257566,-26.51031,-12.41186,0.067463934,-14.223269,-11.728901,-10.58617,-6.1323614
34,FluencyBank,107,34,3060960,3108960,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_34,-232.23973,104.84153,-41.732296,16.478794,-22.15377,-26.305346,-27.541172,-11.791509,-0.39413318,-17.75398,-10.801541,-7.0571904,-7.0038557
35,FluencyBank,107,35,3172160,3220160,0,0,0,0,0,0,0,2,3,0,0,0,FluencyBank_107_35,-253.2925,97.68753,-34.71296,13.911962,-18.230146,-13.753417,-23.860819,-14.986691,-4.6727676,-16.747957,-10.775501,-7.721006,-2.555812
36,FluencyBank,107,36,3195040,3243040,0,0,0,0,0,0,0,3,3,0,0,0,FluencyBank_107_36,-258.35294,87.551834,-32.05305,14.828872,-18.342869,-13.275743,-21.67147,-18.654568,-3.4028509,-13.482071,-11.890711,-14.130167,-1.5393
37,FluencyBank,107,37,3236320,3284320,0,0,0,0,0,0,0,0,3,1,0,0,FluencyBank_107_37,-238.36516,96.350395,-34.02039,12.230262,-27.139297,-17.202538,-27.854174,-19.036629,4.41468,-11.89884,-11.087879,-10.83358,-2.9133089
38,FluencyBank,107,38,3258080,3306080,0,0,0,0,0,0,0,0,3,1,0,0,FluencyBank_107_38,-238.29008,83.292595,-27.917442,19.263996,-24.84296,-25.049116,-26.305141,-18.779593,1.2134014,-14.76254,-9.744758,-9.499803,-2.907119
39,FluencyBank,107,39,212160,260160,0,0,0,1,2,0,0,0,0,0,0,0,FluencyBank_107_39,-301.16476,101.92916,-24.29754,5.1207285,-13.519349,-15.536923,-18.528818,-9.118948,-3.7777596,-9.086455,-16.450195,-9.816047,-1.8795866
40,FluencyBank,107,40,3309600,3357600,0,0,1,0,1,1,0,0,0,0,0,0,FluencyBank_107_40,-299.4781,106.52965,-37.168766,10.808878,-10.6424055,-19.54296,-18.712053,-5.4401536,-1.2502123,-13.710226,-14.944652,-2.6976764,-5.82677
41,FluencyBank,107,41,3322080,3370080,0,0,0,1,0,3,0,0,0,0,0,0,FluencyBank_107_41,-296.51187,102.33857,-33.255108,10.014699,-14.709238,-20.546453,-17.656881,-7.656884,-2.0568154,-13.278409,-13.660195,-1.3625642,-4.2750273
42,FluencyBank,107,42,3361120,3409120,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_42,-269.4447,104.58349,-36.364933,6.392082,-27.55913,-7.3022394,-20.578325,-11.631175,-0.18435925,-13.313738,-7.5831814,-6.676621,-5.849971
43,FluencyBank,107,43,3545600,3593600,0,0,2,0,0,0,0,0,1,1,0,0,FluencyBank_107_43,-249.20737,104.83708,-37.106575,14.644631,-24.84815,-15.395913,-29.607887,-17.555504,-1.5727108,-13.509399,-8.906721,-8.870157,-1.3562388
44,FluencyBank,107,44,3568640,3616640,0,0,1,1,0,0,0,0,1,0,0,0,FluencyBank_107_44,-246.31032,96.66316,-37.617985,13.7185335,-19.080376,-20.135784,-22.587278,-10.588444,-0.39574412,-15.152681,-8.0032425,-10.983247,-4.412107
45,FluencyBank,107,45,3857600,3905600,0,0,0,0,0,0,0,0,3,1,0,0,FluencyBank_107_45,-275.59332,93.76059,-1.1553824,13.705196,-22.051779,-23.40078,-17.273037,-4.872461,-7.095587,-10.962076,-16.581701,-7.7616673,-8.806577
46,FluencyBank,107,46,3880000,3928000,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_46,-249.56137,82.649925,-18.168722,13.583044,-19.74756,-20.911596,-25.97259,-10.493308,-4.6713037,-12.756983,-12.481884,-7.523602,-4.7230687
47,FluencyBank,107,47,3932480,3980480,0,0,0,2,0,0,0,0,1,0,0,0,FluencyBank_107_47,-263.1417,96.04381,-16.191938,21.914259,-14.957642,-21.402567,-33.126305,-17.129026,-7.799473,-12.165682,-11.989681,-5.680325,-1.2665743
48,FluencyBank,107,48,3954080,4002080,0,0,0,1,0,0,0,0,2,0,0,0,FluencyBank_107_48,-259.4499,98.63319,-15.12292,17.26959,-15.282538,-20.6635,-34.724506,-19.950886,-4.753815,-13.31972,-11.132614,-6.205971,-1.5241721
49,FluencyBank,107,49,4004800,4052800,0,0,1,0,0,0,0,0,2,1,0,0,FluencyBank_107_49,-259.97083,89.66676,-41.148125,16.366041,-14.767789,-18.087732,-18.142641,-6.890632,-6.364293,-8.945647,-10.204663,-8.478533,-4.7255235
50,FluencyBank,107,50,4029600,4077600,0,0,1,1,0,0,0,0,1,0,0,0,FluencyBank_107_50,-280.03195,93.36319,-16.113064,25.380833,-19.262688,-20.061443,-21.358582,-12.236138,-13.149295,-9.348145,-10.374575,-11.302286,-2.5915883
51,FluencyBank,107,51,4070720,4118720,0,0,0,0,0,0,0,3,3,0,0,0,FluencyBank_107_51,-261.3389,100.786644,-29.421574,22.710743,-16.591047,-14.375219,-25.222996,-16.908966,-8.4750595,-13.805505,-14.118986,-11.082391,-2.4635437
52,FluencyBank,107,52,4095200,4143200,0,0,0,0,0,0,0,3,3,0,0,0,FluencyBank_107_52,-247.21025,92.23271,-46.49839,16.87215,-22.55773,-8.7410755,-21.42026,-11.037888,1.8362266,-12.093067,-13.436639,-8.8232355,-1.8445569
53,FluencyBank,107,53,4287360,4335360,0,0,0,1,0,0,0,0,2,0,0,0,FluencyBank_107_53,-294.74866,100.31968,-29.428774,15.141681,-15.5650625,-12.636998,-20.830812,-9.972786,-5.912194,-12.887032,-11.856929,-7.065279,-4.6513085
54,FluencyBank,107,54,4315200,4363200,0,0,1,0,0,0,0,0,2,0,0,0,FluencyBank_107_54,-276.92325,86.917984,-27.238058,29.402287,-22.256197,-19.66791,-23.69502,-7.19076,-8.189796,-12.889497,-5.4804955,-8.804142,-1.2639931
55,FluencyBank,107,55,4418400,4466400,0,0,0,0,0,0,0,3,3,0,0,0,FluencyBank_107_55,-269.0997,97.61192,-31.70318,11.114883,-14.330645,-12.762537,-28.412241,-17.411104,-7.6525497,-13.842703,-12.0086355,-8.379462,-5.9817114
56,FluencyBank,107,56,4440960,4488960,0,0,0,0,0,0,0,2,3,0,0,0,FluencyBank_107_56,-274.8658,94.676216,-24.269701,0.86039716,-15.440716,-7.3647223,-22.037727,-17.004807,-2.595503,-12.642179,-14.926107,-9.798922,-5.360871
57,FluencyBank,107,57,226720,274720,0,0,1,1,0,0,0,0,1,0,0,0,FluencyBank_107_57,-266.70862,101.82249,-32.27011,0.29583493,-14.053747,-13.933859,-18.964575,-13.358234,-2.1603777,-11.412604,-14.901738,-11.48574,-1.5545452
58,FluencyBank,107,58,4497280,4545280,0,0,0,0,0,0,0,0,3,1,0,0,FluencyBank_107_58,-274.0539,98.43225,-27.274845,12.52873,-24.083319,-11.427563,-27.607876,-9.107695,-3.4226036,-14.666698,-13.934521,-4.323251,-2.7975185
59,FluencyBank,107,59,4519200,4567200,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_59,-270.4277,102.738945,-38.419895,20.245083,-18.36873,-15.023451,-34.267326,-11.08689,-6.4524713,-12.364121,-11.855872,-4.606309,0.5073036
60,FluencyBank,107,60,4679840,4727840,0,0,0,0,0,1,0,3,2,0,0,0,FluencyBank_107_60,-263.699,97.17279,-30.884665,20.346647,-26.2857,-13.6288595,-26.010183,-18.946894,-7.816486,-11.824641,-9.801087,-14.329561,-2.6718466
61,FluencyBank,107,61,4700960,4748960,0,0,0,0,0,0,0,3,3,0,0,0,FluencyBank_107_61,-276.64514,91.54578,-19.330158,25.549042,-17.13513,-19.007135,-28.872795,-17.57578,-14.244608,-14.220232,-11.684624,-11.125035,-1.3425375
62,FluencyBank,107,62,4840160,4888160,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_62,-289.73856,103.69539,-6.9037404,9.597944,-16.953602,-28.851017,-19.157492,-11.572772,-9.3321295,-16.45593,-11.578998,-10.959354,-6.1255083
63,FluencyBank,107,63,4871840,4919840,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_63,-255.40607,96.41156,-40.429356,11.387609,-15.346058,-11.747207,-26.42703,-13.567074,-3.1589901,-14.227543,-9.227682,-8.811506,-2.4069984
64,FluencyBank,107,64,4958080,5006080,0,0,0,0,0,0,0,3,3,0,0,0,FluencyBank_107_64,-244.51213,84.183846,-41.534332,11.395738,-17.473412,-9.209202,-23.06158,-11.803367,-0.6705193,-12.570364,-12.12583,-4.641525,-2.7084024
65,FluencyBank,107,65,4980480,5028480,0,0,0,0,0,0,0,3,3,1,0,0,FluencyBank_107_65,-224.70181,87.09582,-36.755325,6.6776524,-25.999823,-2.2749972,-24.344467,-16.210354,0.72596544,-11.580944,-9.676434,-8.325703,-2.9632845
66,FluencyBank,107,66,5106400,5154400,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_66,-236.16782,86.54883,-34.004658,29.65495,-24.07513,-24.00181,-26.403887,-16.64024,-4.9091983,-18.96524,-4.434279,-8.299741,-0.19202736
67,FluencyBank,107,67,5127520,5175520,0,0,0,0,0,2,0,0,1,0,0,0,FluencyBank_107_67,-237.64153,86.147766,-34.199184,18.304983,-25.497585,-15.181741,-28.67261,-21.386742,-3.0753145,-18.777233,-5.6037755,-6.808578,-2.9456449
68,FluencyBank,107,68,5192960,5240960,0,0,0,0,0,0,0,2,3,1,0,0,FluencyBank_107_68,-270.74893,95.66736,-10.213305,15.322473,-24.133415,-12.08084,-28.22837,-20.587763,-4.400221,-9.21085,-14.687543,-6.9851537,-3.424484
69,FluencyBank,107,69,5216320,5264320,0,0,0,0,0,0,0,2,3,0,0,0,FluencyBank_107_69,-262.1415,90.00489,-34.94898,19.317532,-21.779295,-10.06845,-29.927326,-13.823979,-1.8738137,-12.970336,-10.827282,-8.247537,-3.1640475
70,FluencyBank,107,70,5235040,5283040,0,0,0,0,0,0,0,2,3,1,0,0,FluencyBank_107_70,-259.3478,84.93303,-23.848438,19.33762,-23.87663,-14.919705,-30.881569,-13.733599,-9.268177,-14.15946,-11.069188,-10.0813465,-1.2488949
71,FluencyBank,107,71,5326240,5374240,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_71,-237.40256,97.912865,-44.88775,23.014368,-26.603745,-22.265339,-27.284544,-12.276145,-4.1501956,-10.586226,-7.4440384,-8.187817,-3.339213
72,FluencyBank,107,72,5347360,5395360,0,0,1,0,0,0,0,0,2,0,0,0,FluencyBank_107_72,-241.3373,99.44416,-37.131393,18.459988,-27.962423,-18.956863,-24.399744,-12.785537,-9.264956,-14.205447,-9.346304,-9.209618,-0.31670836
73,FluencyBank,107,73,5462720,5510720,0,0,0,0,0,0,0,3,3,0,0,0,FluencyBank_107_73,-258.97418,79.60569,-25.002903,17.680012,-14.783533,-18.23291,-22.436913,-13.849133,-4.398629,-16.24551,-10.824012,-5.8466687,-3.3361456
74,FluencyBank,107,74,5487840,5535840,0,0,0,0,0,0,0,2,3,0,0,0,FluencyBank_107_74,-258.0264,104.61382,-45.086033,-0.9256496,-26.23973,-3.559591,-22.871387,-11.154807,-3.1403842,-13.694874,-7.9152036,-6.31764,-3.8625212
76,FluencyBank,107,76,5589760,5637760,0,0,1,0,0,0,0,0,2,0,0,0,FluencyBank_107_76,-260.53894,111.44154,-46.796894,11.921182,-15.831237,-16.738222,-28.950512,-7.2459435,-1.6828918,-19.034128,-7.0369873,-11.883807,-8.717486
77,FluencyBank,107,77,330880,378880,0,0,0,0,0,0,0,0,3,1,0,0,FluencyBank_107_77,-269.54782,82.89514,-14.647837,26.117548,-19.95499,-19.978588,-20.379726,-17.994774,-11.533715,-8.803989,-12.544435,-13.006151,-3.2723415
78,FluencyBank,107,78,352960,400960,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_78,-278.2327,91.337494,-16.242455,15.47959,-24.485863,-15.204629,-15.843994,-13.262429,-10.490886,-12.144207,-16.083464,-10.314962,-6.0666947
80,FluencyBank,107,80,5870880,5918880,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_80,-233.93864,105.52573,-29.329998,11.218185,-24.913898,-17.410866,-25.696627,-15.110112,-4.0130477,-16.936228,-9.181596,-8.616908,0.58758247
81,FluencyBank,107,81,5931840,5979840,0,0,0,0,0,1,0,3,2,1,0,0,FluencyBank_107_81,-273.62766,93.03815,-27.715498,24.016567,-19.653118,-11.58522,-19.465881,-22.38972,-7.6367445,-14.029013,-17.875917,-11.039045,-2.703397
82,FluencyBank,107,82,5954720,6002720,0,0,1,0,0,0,0,2,2,0,0,0,FluencyBank_107_82,-240.80864,80.11124,-23.984879,26.723747,-17.75779,-19.494253,-26.641975,-19.440292,-8.713656,-15.138417,-14.889538,-8.378337,-0.4894114
83,FluencyBank,107,83,6134240,6182240,0,0,1,2,1,0,0,0,0,0,0,0,FluencyBank_107_83,-255.4897,93.392265,-36.94287,16.282316,-18.446512,-15.770033,-20.41502,-5.5892267,-5.2239857,-17.104433,-15.029362,-8.080941,-7.9689074
84,FluencyBank,107,84,6155520,6203520,0,0,0,0,0,0,0,0,3,2,0,0,FluencyBank_107_84,-222.36066,77.11715,-31.354591,25.770517,-21.48251,-20.986595,-23.908936,-15.254992,-9.814867,-16.475075,-11.70179,-7.573373,0.3225692
85,FluencyBank,107,85,6306560,6354560,0,0,0,0,0,0,0,0,3,1,0,0,FluencyBank_107_85,-264.40604,113.25291,-29.926306,14.679978,-21.069914,-27.263885,-28.811962,-9.212193,-6.1935315,-18.845873,-12.311034,-4.910133,-5.825269
86,FluencyBank,107,86,6328800,6376800,0,0,2,0,0,0,0,0,1,0,0,0,FluencyBank_107_86,-270.1299,101.48609,-24.02298,14.10607,-17.01711,-24.23161,-23.727703,-9.183861,-9.253855,-20.017157,-8.9103365,-5.591192,-5.548593
87,FluencyBank,107,87,6389600,6437600,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_87,-278.72006,89.80026,-17.671207,21.29797,-14.08612,-18.350807,-26.178223,-11.357565,-7.2630134,-15.563987,-13.194465,-7.1677904,-3.29421
88,FluencyBank,107,88,6421920,6469920,0,0,0,0,0,2,0,0,2,0,0,0,FluencyBank_107_88,-280.79916,93.44413,-11.493738,25.548162,-26.98143,-25.226318,-14.907658,-13.809717,-12.634998,-15.608118,-14.502531,-9.105871,-7.657779
89,FluencyBank,107,89,389280,437280,0,0,1,0,0,0,0,0,2,2,0,0,FluencyBank_107_89,-271.91306,107.928764,-32.993847,5.4727383,-20.477451,-13.181273,-24.745245,-14.305828,-6.109277,-11.173918,-13.736507,-8.981701,-1.7115501
90,FluencyBank,107,90,436800,484800,0,0,1,1,0,0,0,0,1,0,0,0,FluencyBank_107_90,-290.535,107.21018,-33.755398,19.274494,-10.6862335,-24.250662,-23.012403,-10.924637,-7.4702997,-15.795118,-13.6609955,-7.6606236,-7.13185
91,FluencyBank,107,91,462400,510400,0,0,0,0,1,2,0,0,0,1,0,0,FluencyBank_107_91,-289.85312,104.714035,-42.077503,8.556216,-9.637139,-12.412799,-12.188045,-8.491533,-2.0443199,-10.897651,-14.232724,-8.91742,-8.59487
92,FluencyBank,107,92,480960,528960,0,0,0,0,0,2,0,0,1,1,0,0,FluencyBank_107_92,-272.43088,100.405045,-31.588783,11.17865,-8.142195,-23.541107,-18.468422,-10.631218,-4.377522,-10.416,-12.389803,-8.748255,-8.426126
93,FluencyBank,107,93,555040,603040,0,0,0,0,0,0,0,0,3,1,0,0,FluencyBank_107_93,-246.61014,85.20134,-37.010326,28.178698,-19.448126,-24.116684,-20.332539,-12.546739,-1.9537097,-14.1804495,-12.941716,-9.663222,-3.6673567
94,FluencyBank,107,94,576960,624960,0,0,0,0,0,0,0,0,3,2,0,0,FluencyBank_107_94,-250.91971,74.58856,-18.375338,22.674498,-24.57554,-14.976308,-16.384861,-15.19094,-7.1303573,-12.665004,-12.77555,-9.665146,-4.8170505
95,FluencyBank,107,95,711520,759520,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_107_95,-217.42958,87.96712,-37.43086,16.320253,-26.757814,-17.072014,-21.600084,-13.402003,2.50101,-21.130878,-9.184159,-8.459897,-2.8919373
96,FluencyBank,107,96,732480,780480,0,0,0,0,0,0,0,0,3,1,0,0,FluencyBank_107_96,-217.0802,89.54044,-38.740818,12.7716675,-31.355017,-14.413094,-22.617447,-16.25885,6.2498345,-17.483492,-9.44899,-10.167702,-1.3713254
97,FluencyBank,109,0,910240,958240,0,0,2,0,0,0,0,0,1,0,0,0,FluencyBank_109_0,-260.9307,117.37055,-7.630832,27.367182,0.4447624,-13.89876,-5.9085474,-14.51076,-17.910858,-4.416468,-15.650208,-8.693084,-10.514177
98,FluencyBank,109,1,4751680,4799680,0,0,0,1,1,3,0,2,0,0,0,0,FluencyBank_109_1,-279.32574,114.144554,-16.01099,16.907774,-5.0015297,-14.79851,-14.013411,-22.60514,-18.519682,4.760632,-15.948013,-9.800591,-11.657729
99,FluencyBank,109,2,4777600,4825600,0,0,0,2,0,0,0,0,1,0,0,0,FluencyBank_109_2,-309.529,107.05099,-4.0908475,17.190214,-3.6171007,-6.117645,-5.3380885,-17.45753,-18.659864,3.6689813,-15.58985,-12.114121,-15.811006
100,FluencyBank,109,3,4848800,4896800,0,0,0,0,2,0,0,0,1,0,0,0,FluencyBank_109_3,-340.87192,103.61441,-4.9978786,24.857697,-0.2653654,-7.4550457,-6.416182,-10.0034685,-12.238493,2.7857738,-15.4018135,-8.888089,-13.2109375
101,FluencyBank,109,4,4909600,4957600,0,0,0,0,0,0,0,0,3,0,0,0,FluencyBank_109_4,-320.48038,97.47374,2.2553744,21.081144,4.0690026,-9.487415,-10.764014,-18.139837,-22.44769,-3.067674,-20.763002,-7.914039,-10.494335
102,FluencyBank,109,5,5007200,5055200,0,0,0,0,0,0,0,2,3,2,0,0,FluencyBank_109_5,-293.90387,96.03338,-7.766402,5.968116,-3.4325383,-8.540443,-18.022518,-7.586612,-7.421103,-2.0230594,-10.357053,-15.290481,-10.632865
103,FluencyBank,109,6,5035040,5083040,0,0,3,1,0,0,0,3,0,0,0,0,FluencyBank_109_6,-255.02661,107.06982,-8.017785,13.914072,-17.974302,-13.373062,-20.223589,-16.753914,-13.3473015,-2.8322942,-8.142825,-18.719961,-10.833793
104,FluencyBank,109,7,5083200,5131200,0,0,2,0,2,0,0,0,0,0,0,0,FluencyBank_109_7,-283.28604,112.24122,-10.382014,25.57193,-13.745337,-16.433039,-17.621153,-11.691672,-9.00916,-4.1432824,-8.966599,-9.725441,-11.797199
105,FluencyBank,109,8,5152160,5200160,0,0,1,1,1,0,0,2,0,0,0,0,FluencyBank_109_8,-354.6273,89.76896,7.803709,34.536068,0.9552788,-4.320338,-2.6580706,-10.64353,-17.298306,-5.0762877,-13.200525,-10.656174,-16.226473
